[Andhra Pradesh, Karnataka, Madhya Pradesh, Gujarat, Maharashtra, Dadra & Nagar Haveli, Daman & Diu, Jharkhand, Orissa, Chhattisgarh, Meghalaya, Assam, West Bengal, Bihar, Sikkim, Arunachal Pradesh, Nagaland, Manipur, Mizoram, Bangladesh, Tripura, Tripura , Uttar Pradesh, Rajasthan, Jammu & Kashmir, Himachal Pradesh, Punjab, Uttaranchal, Chandigarh, Haryana, Delhi, Kerala, Tamil Nadu, Lakshadweep, Goa, Pondicherry, Andaman & Nicobar Islands, Other Asian Countries, Delhi , Other Europe , Karnataka , Pakistan, Nepal, Rest of the World , UAE, Andaman & Nicobar Islands  , Africa , Sri Lanka , UK, USA, Maldives , Bhutan, Afganisthan, Canada]

[11891, 0, 16, 21, 108, 0, 0, 8, 101, 9, 0, 1, 32, 43, 0, 0, 0, 0, 0, 0, 0, 0, 32, 47, 0, 1, 8, 0, 3, 1, 0, 30, 137, 0, 0, 1, 0, 1, 16, 3, 165, 0, 4, 0, 11, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[222, 0, 19, 16, 136, 0, 0, 2, 21, 2, 1, 9, 24, 25, 2, 11, 1, 3, 0, 0, 0, 0, 17, 45, 7, 0, 15, 2, 0, 7, 0, 103, 232, 0, 1, 2, 0, 1, 9, 1, 6252, 0, 1, 0, 4, 0, 0, 0, 2, 5, 0, 0, 0, 0],
[7, 0, 9570, 26, 90, 0, 0, 2, 3, 47, 0, 0, 9, 50, 0, 2, 0, 0, 0, 1, 0, 0, 344, 142, 0, 0, 8, 4, 2, 6, 0, 5, 2, 0, 0, 0, 0, 0, 17, 0, 2, 1, 10, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[4, 0, 65, 7564, 241, 15, 1, 6, 22, 0, 0, 0, 60, 104, 0, 0, 0, 1, 0, 1, 0, 0, 281, 228, 5, 1, 9, 10, 0, 8, 0, 18, 17, 0, 3, 1, 0, 0, 31, 0, 24, 1, 12, 1, 3, 0, 7, 0, 1, 1, 0, 0, 0, 0],
[221, 0, 274, 430, 14380, 4, 8, 22, 39, 68, 4, 17, 106, 121, 2, 5, 0, 0, 0, 0, 0, 1, 778, 228, 4, 3, 45, 12, 4, 23, 0, 102, 93, 1, 27, 2, 0, 1, 40, 0, 319, 12, 21, 1, 21, 0, 0, 0, 2, 2, 0, 0, 0, 0],
[1, 0, 99, 89, 67, 150, 0, 8, 0, 0, 0, 0, 2, 67, 0, 0, 0, 0, 0, 0, 0, 0, 157, 27, 0, 0, 0, 16, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 5, 236, 30, 15, 88, 0, 14, 0, 0, 2, 1, 19, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[6, 0, 2, 3, 0, 0, 0, 2609, 19, 5, 4, 0, 23, 239, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[79, 0, 4, 29, 15, 0, 0, 54, 7068, 62, 0, 1, 55, 67, 1, 2, 1, 0, 0, 2, 0, 0, 13, 14, 1, 0, 3, 3, 0, 0, 0, 1, 4, 0, 5, 0, 0, 0, 10, 0, 9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[12, 0, 142, 5, 64, 0, 0, 16, 105, 3394, 0, 0, 22, 39, 0, 2, 0, 0, 0, 10, 0, 0, 78, 6, 17, 0, 10, 0, 0, 8, 0, 6, 0, 0, 0, 0, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
